"trump","college","state"
85,0,"LA"
85,1,"AR"
60,0,"MS"
60,0,"TN"
0,0,"OH"
50,1,"NJ"
0,0,"NY"
85,0,"NJ"
60,0,"TX"
50,0,"MS"
50,0,"LA"
0,0,"NC"
30,1,"CT"
85,1,"OH"
0,1,"KS"
60,0,"MA"
0,1,"DC"
100,1,"NM"
0,1,"NY"
15,0,"WA"
85,0,"LA"
90,1,"AZ"
0,0,"PA"
60,1,"KS"
60,0,"LA"
70,0,"PA"
40,1,"FL"
70,0,"TN"
0,1,"MA"
40,0,"KS"
60,1,"AZ"
85,1,"KS"
100,0,"NM"
100,1,"IL"
40,1,"MA"
15,1,"TN"
60,0,"CO"
85,1,"KS"
85,0,"MA"
0,0,"GA"
80,0,"AR"
60,1,"WI"
0,1,"DC"
100,1,"NY"
70,1,"KS"
0,1,"IL"
60,1,"TX"
70,1,"NC"
40,NA,"TN"
40,0,"NC"
0,1,"AR"
30,1,"GA"
85,1,"OH"
85,1,"WI"
15,1,"TN"
30,1,"TN"
NA,0,"TX"
0,1,"CT"
0,1,"MA"
70,0,"IL"
0,0,"TX"
0,0,"MS"
50,1,"PA"
40,1,"NM"
0,0,"OK"
0,1,"IL"
0,1,"MA"
60,0,"TN"
40,0,"MS"
15,1,"TN"
0,0,"CA"
15,1,"TN"
0,0,"MD"
15,1,"CA"
0,0,"CA"
0,0,"CA"
8,0,"SC"
20,0,"IN"
40,0,"KS"
0,0,"DC"
70,1,"AR"
70,1,"CA"
0,0,"IN"
15,1,"CA"
0,1,"NJ"
10,1,"MN"
0,1,"IL"
60,1,"PA"
85,0,"CA"
60,0,"GA"
85,1,"KS"
0,1,"GA"
50,0,"TX"
0,0,"AZ"
40,1,"LA"
30,0,"WI"
100,0,"WI"
40,0,"CA"
50,1,"IN"
70,1,"IL"
0,1,"TX"
0,1,"PA"
70,0,"TX"
0,1,"CO"
70,0,"TX"
70,0,"MA"
30,1,"MA"
0,0,"IN"
60,1,"CA"
40,0,"TX"
50,0,"AZ"
70,0,"GA"
30,1,"NC"
50,0,"TX"
15,0,"CA"
70,0,"PA"
70,0,"MD"
15,1,"NM"
30,0,"NC"
60,0,"NC"
85,1,"KS"
65,1,"TN"
40,0,"ID"
30,1,"CA"
70,0,"ID"
40,1,"TX"
0,1,"TX"
60,0,"MD"
0,1,"CA"
100,0,"CA"
0,0,"TN"
0,NA,"NH"
40,0,"IL"
100,1,"TN"
30,1,"MA"
15,1,"DC"
0,1,"KS"
30,1,"TN"
70,0,"OK"
60,0,"TN"
0,1,"NM"
60,1,"NC"
0,0,"NM"
60,0,"MN"
15,0,"TX"
0,1,"WA"
70,0,"NC"
60,0,"NJ"
0,1,"SC"
30,1,"WA"
0,0,"PA"
0,1,"FL"
15,0,"KS"
30,0,"DC"
15,1,"GA"
100,0,"NH"
70,1,"IL"
60,0,"CA"
70,1,"MS"
60,1,"MA"
15,1,"CT"
0,1,"MD"
100,0,"OH"
0,1,"KS"
50,0,"NC"
0,0,"OK"
70,0,"IL"
70,1,"VA"
15,1,"CA"
85,0,"WI"
0,0,"MA"
70,1,"SC"
70,1,"AZ"
0,0,"CA"
0,1,"NY"
0,0,"TX"
85,1,"MS"
1,1,"CT"
50,0,"SC"
70,0,"MS"
50,1,"IL"
50,0,"CA"
60,1,"MI"
40,1,"CT"
30,0,"MS"
0,0,"NM"
0,0,"FL"
15,0,"GA"
100,0,"OH"
70,1,"AZ"
70,0,"KS"
35,1,"MN"
0,1,"NM"
15,0,"ID"
40,0,"OH"
0,1,"ID"
0,0,"TN"
30,0,"CO"
15,1,"TX"
85,1,"TX"
75,0,"TN"
100,1,"TX"
30,0,"IL"
85,1,"GA"
40,1,"TN"
60,1,"WA"
40,1,"TN"
0,1,"OK"
30,0,"VA"
50,0,"GA"
0,1,"TN"
30,1,"GA"
0,1,"ID"
0,1,"KS"
50,0,"CA"
0,1,"NC"
85,0,"WI"
0,1,"NY"
70,0,"AZ"
0,1,"FL"
85,1,"OH"
30,1,"LA"
30,1,"NJ"
0,0,"TX"
70,1,"FL"
70,1,"WI"
60,1,"GA"
50,0,"CA"
90,1,"TN"
60,0,"OH"
0,1,"TX"
15,1,"ID"
30,1,"OH"
0,1,"CA"
70,1,"IN"
40,1,"TN"
30,1,"WI"
100,0,"GA"
85,1,"TX"
100,1,"TX"
85,0,"NH"
0,0,"TX"
30,0,"NM"
15,0,"TX"
50,0,"TX"
15,1,"IL"
0,1,"MA"
85,1,"TN"
0,0,"CA"
50,0,"IL"
0,0,"MS"
15,1,"NJ"
40,1,"NM"
60,1,"OK"
70,1,"ID"
0,1,"TX"
15,1,"KS"
0,0,"TX"
0,NA,"MI"
60,1,"TX"
0,1,"TX"
70,1,"LA"
0,1,"TN"
70,0,"CO"
50,0,"KS"
85,0,"WI"
0,0,"NH"
60,0,"TN"
0,1,"KS"
0,0,"IL"
0,0,"TX"
100,0,"LA"
100,1,"AR"
15,0,"SC"
0,0,"MA"
0,0,"KS"
70,1,"TX"
70,0,"WA"
40,1,"KS"
50,0,"OK"
15,1,"DC"
85,0,"IL"
60,1,"TX"
60,0,"IL"
50,0,"TX"
60,1,"OH"
0,1,"NJ"
40,0,"IL"
100,0,"TN"
60,1,"MI"
0,0,"NH"
NA,0,"KS"
50,0,"LA"
60,0,"MS"
30,0,"MI"
70,1,"SC"
15,0,"IN"
0,0,"IL"
50,0,"CO"
0,0,"CA"
40,0,"FL"
100,1,"MA"
0,1,"TX"
40,0,"IL"
15,0,"CA"
85,1,"AR"
50,0,"TN"
85,1,"MN"
10,0,"TN"
70,1,"IL"
50,0,"NC"
70,0,"LA"
85,0,"WA"
85,0,"TX"
20,0,"NC"
85,1,"FL"
15,1,"KS"
100,1,"CA"
0,1,"FL"
40,0,"NY"
0,1,"NJ"
60,0,"MA"
0,1,"MD"
15,1,"MI"
0,1,"MN"
15,1,"MS"
100,1,"CO"
40,1,"IL"
70,1,"TX"
0,1,"OH"
0,1,"CA"
75,0,"OH"
0,1,"TX"
0,0,"SC"
30,0,"TX"
10,1,"MN"
40,1,"MD"
0,1,"ID"
15,1,"PA"
0,1,"CA"
50,1,"TX"
0,0,"DC"
15,1,"OK"
0,1,"OK"
100,1,"MS"
100,1,"TN"
3,0,"NC"
70,0,"TX"
0,0,"NC"
0,1,"NH"
10,1,"TN"
30,1,"ID"
0,1,"DC"
40,1,"ID"
70,1,"AR"
30,0,"WI"
85,1,"NJ"
0,1,"NY"
0,1,"CA"
70,0,"MS"
0,0,"CO"
60,0,"GA"
70,1,"MN"
0,1,"MD"
85,1,"OK"
60,0,"IN"
30,1,"KS"
15,1,"TN"
40,1,"IN"
0,1,"NC"
70,1,"NC"
30,1,"OH"
30,0,"IN"
85,0,"MD"
0,0,"NC"
0,0,"CA"
0,1,"CA"
60,1,"CA"
0,1,"NC"
85,1,"AR"
0,1,"MS"
85,0,"ID"
0,1,"FL"
0,1,"PA"
85,0,"ID"
0,1,"SC"
15,1,"MD"
15,1,"FL"
60,1,"NC"
0,1,"CO"
85,1,"NJ"
100,0,"AZ"
60,0,"OH"
50,1,"CA"
0,1,"NC"
70,1,"TX"
0,1,"MS"
50,1,"GA"
60,1,"CO"
85,1,"NJ"
85,1,"NJ"
15,1,"CO"
0,1,"KS"
85,0,"KS"
85,0,"TN"
15,1,"WA"
0,0,"CO"
15,1,"TN"
70,0,"NH"
15,1,"NJ"
50,0,"CO"
0,1,"CO"
50,0,"OH"
85,1,"AZ"
30,0,"KS"
50,1,"CA"
0,0,"OH"
0,0,"PA"
60,0,"TX"
15,0,"CO"
0,0,"CA"
85,0,"OK"
0,1,"CT"
60,1,"AR"
30,1,"NJ"
30,0,"PA"
60,0,"TX"
60,1,"GA"
50,NA,"OH"
50,0,"AR"
70,1,"AZ"
100,1,"NM"
60,0,"OK"
70,0,"ID"
70,1,"NM"
60,0,"NC"
100,0,"TN"
70,1,"VA"
70,1,"MN"
0,1,"CA"
60,1,"TN"
15,1,"KS"
0,1,"CA"
60,1,"ID"
85,1,"MA"
70,0,"NC"
0,1,"KS"
0,1,"NY"
40,0,"CO"
0,0,"TX"
0,1,"CA"
0,1,"PA"
70,1,"KS"
0,0,"PA"
100,0,"ID"
60,1,"TX"
30,0,"ID"
0,1,"NJ"
50,0,"NM"
0,0,"TX"
0,0,"NC"
80,0,"CA"
40,1,"PA"
85,1,"TX"
40,0,"CO"
60,1,"NH"
85,0,"MS"
30,0,"MD"
70,1,"CT"
0,0,"CA"
15,1,"AZ"
60,1,"FL"
70,0,"WA"
85,1,"IN"
0,1,"IL"
40,0,"CO"
15,1,"WI"
60,1,"NC"
40,1,"IL"
50,0,"MA"
50,0,"PA"
65,0,"NM"
40,0,"MI"
70,0,"TN"
70,0,"KS"
70,1,"LA"
0,1,"CT"
0,1,"DC"
50,0,"LA"
70,0,"PA"
85,0,"CA"
100,0,"CA"
30,0,"MS"
30,1,"NM"
50,0,"SC"
50,1,"CA"
50,0,"WA"
15,1,"CA"
0,0,"AZ"
50,0,"AZ"
30,0,"MN"
0,0,"KS"
0,1,"MA"
40,1,"NJ"
0,0,"CA"
85,1,"FL"
85,1,"CA"
85,0,"MA"
15,0,"KS"
30,0,"MD"
85,1,"OK"
0,0,"TX"
100,0,"MI"
0,1,"IL"
70,0,"TN"
50,1,"KS"
30,1,"TX"
100,1,"VA"
30,0,"MS"
0,0,"CO"
70,1,"ID"
50,0,"OH"
30,1,"FL"
70,1,"AR"
40,0,"TN"
50,1,"NM"
0,1,"IL"
85,1,"CA"
60,1,"CO"
75,1,"TN"
60,1,"IL"
70,0,"CA"
85,0,"MS"
60,0,"IL"
0,0,"CO"
60,0,"MS"
70,1,"SC"
60,1,"OH"
30,1,"IN"
0,1,"TN"
15,1,"CA"
40,1,"NJ"
50,0,"MS"
70,1,"AR"
85,1,"CO"
50,0,"KS"
0,0,"IL"
0,1,"MI"
0,0,"MD"
0,1,"NJ"
70,1,"KS"
0,1,"WI"
0,1,"MA"
60,1,"TX"
85,1,"CT"
85,1,"WA"
70,0,"NC"
70,1,"CA"
100,1,"AR"
40,0,"OK"
15,0,"IN"
0,0,"FL"
0,1,"CT"
15,1,"LA"
0,0,"MD"
85,0,"NJ"
0,1,"OH"
0,0,"TX"
40,0,"NY"
0,0,"CA"
0,1,"IL"
0,1,"NC"
21,1,"OH"
0,1,"IL"
40,1,"TX"
100,0,"KS"
0,0,"MD"
50,0,"CA"
0,1,"OK"
30,1,"IL"
0,0,"CO"
70,0,"TN"
0,1,"AR"
0,0,"LA"
0,1,"CO"
0,1,"NC"
85,1,"CA"
15,1,"VA"
0,1,"TN"
60,0,"IN"
85,0,"KS"
50,1,"MD"
40,0,"CO"
35,0,"TX"
0,1,"AR"
70,0,"OK"
85,0,"OH"
0,0,"CA"
0,0,"TX"
0,1,"NH"
0,0,"MN"
85,0,"IN"
85,1,"AR"
0,0,"TX"
30,0,"MI"
50,0,"NC"
0,1,"KS"
0,0,"WA"
40,1,"NJ"
0,1,"CA"
85,1,"PA"
15,1,"CA"
70,0,"WI"
30,1,"NC"
0,0,"IL"
50,0,"IL"
85,1,"AR"
0,0,"CA"
100,1,"TN"
0,1,"MN"
15,1,"MA"
0,1,"DC"
60,0,"MN"
20,1,"CA"
15,1,"MD"
0,1,"OH"
0,0,"FL"
50,0,"CO"
60,1,"OK"
100,0,"OH"
60,0,"TX"
0,1,"AZ"
35,1,"CT"
0,0,"NH"
40,0,"TN"
0,0,"CA"
0,0,"SC"
60,0,"OH"
70,0,"TX"
50,0,"CO"
0,1,"WA"
70,1,"TX"
50,0,"NH"
85,1,"NC"
0,1,"DC"
70,0,"MI"
30,0,"IL"
60,1,"MD"
15,0,"NC"
0,1,"OH"
0,0,"OK"
15,1,"FL"
0,1,"IL"
50,0,"KS"
0,1,"AZ"
100,1,"WI"
15,0,"NH"
70,0,"MI"
0,1,"NJ"
40,1,"ID"
30,1,"OH"
100,0,"TX"
0,1,"IL"
85,0,"ID"
0,1,"NM"
0,0,"NC"
0,1,"VA"
70,0,"KS"
0,1,"TN"
40,1,"FL"
0,0,"CA"
50,1,"TX"
70,1,"NY"
60,1,"OH"
50,0,"AZ"
50,1,"KS"
NA,0,"AR"
15,1,"NJ"
0,0,"NY"
0,0,"CA"
60,1,"GA"
0,0,"CA"
70,0,"AZ"
40,0,"CA"
60,0,"PA"
0,1,"NH"
60,1,"TX"
50,0,"TN"
85,0,"TN"
0,1,"MA"
85,NA,"CA"
85,0,"NJ"
70,1,"TN"
0,1,"KS"
0,1,"NC"
100,0,"AR"
30,1,"OH"
85,0,"MN"
70,0,"MA"
30,1,"OK"
60,1,"ID"
10,0,"IL"
30,1,"VA"
0,1,"TN"
0,0,"TN"
0,1,"MA"
0,1,"NM"
0,0,"GA"
15,0,"TX"
85,1,"WA"
15,1,"AZ"
15,1,"NY"
0,0,"WA"
40,0,"CA"
100,0,"TN"
50,1,"CA"
85,1,"TX"
15,0,"MD"
50,1,"LA"
70,1,"KS"
100,0,"OK"
0,1,"MA"
0,1,"CA"
0,1,"TX"
0,0,"CA"
30,1,"NJ"
0,1,"PA"
70,1,"NJ"
60,0,"OK"
15,0,"IN"
100,0,"MA"
0,1,"GA"
0,1,"KS"
60,1,"NH"
50,1,"IL"
50,0,"WA"
0,1,"NY"
30,0,"IL"
15,1,"WA"
15,0,"CA"
60,1,"SC"
0,1,"NH"
50,0,"CA"
50,0,"WI"
15,0,"TX"
85,0,"IN"
0,1,"DC"
100,1,"TX"
0,1,"IN"
60,1,"IL"
60,1,"IL"
0,1,"TN"
30,1,"FL"
0,1,"AR"
70,1,"KS"
70,1,"FL"
70,0,"CA"
0,1,"MD"
60,0,"IL"
NA,0,"TX"
50,0,"MI"
30,0,"TX"
60,0,"MS"
70,0,"SC"
70,1,"IN"
0,0,"MD"
15,1,"IL"
85,1,"IL"
85,0,"TN"
100,1,"GA"
60,1,"TX"
0,0,"TN"
0,0,"TX"
30,0,"TX"
0,1,"CA"
0,0,"NJ"
70,0,"CA"
15,1,"KS"
0,1,"PA"
95,0,"TX"
85,1,"CA"
15,0,"MD"
0,1,"MN"
30,1,"ID"
0,1,"MA"
40,0,"IL"
15,1,"WI"
85,0,"WA"
30,1,"MA"
0,0,"ID"
0,0,"IL"
0,1,"DC"
70,0,"OH"
0,0,"MN"
60,0,"MS"
70,1,"AR"
60,1,"NH"
15,1,"CA"
100,0,"CA"
0,0,"NC"
85,1,"IL"
0,1,"CT"
40,0,"DC"
60,0,"CO"
50,0,"TX"
60,1,"NC"
50,1,"ID"
60,0,"CO"
85,1,"OK"
60,1,"MA"
0,1,"TX"
0,0,"KS"
0,1,"CO"
40,0,"TX"
0,0,"SC"
0,NA,"TX"
100,0,"ID"
30,0,"CO"
0,0,"CA"
70,1,"MI"
0,0,"AZ"
40,0,"TN"
15,1,"MD"
85,0,"NJ"
20,1,"VA"
0,0,"CO"
70,0,"TX"
85,0,"FL"
85,0,"FL"
0,1,"NH"
NA,1,"FL"
100,0,"NC"
20,0,"TN"
0,1,"CT"
30,1,"PA"
0,0,"MS"
85,0,"TN"
10,1,"TN"
70,0,"KS"
60,0,"MN"
70,0,"GA"
30,0,"ID"
70,1,"MD"
50,1,"IL"
40,1,"IL"
70,0,"OH"
30,1,"CT"
70,1,"OH"
0,0,"MD"
10,0,"CA"
0,0,"KS"
60,1,"LA"
0,1,"TN"
30,0,"IL"
9,0,"SC"
100,0,"IN"
70,1,"TN"
15,0,"MN"
85,1,"TX"
40,0,"CA"
0,0,"OK"
15,0,"AR"
50,1,"VA"
0,1,"MD"
70,0,"TX"
50,0,"AR"
50,0,"KS"
0,0,"NJ"
40,0,"FL"
0,0,"CO"
40,0,"IN"
50,0,"NC"
30,1,"AZ"
0,1,"TX"
60,0,"WI"
40,0,"CO"
70,0,"VA"
50,0,"WI"
0,1,"NH"
50,1,"AR"
0,0,"PA"
0,0,"CO"
0,1,"MN"
100,0,"TX"
0,0,"KS"
50,0,"CA"
70,1,"IN"
15,1,"MI"
0,0,"KS"
0,1,"CA"
85,0,"OH"
60,1,"PA"
100,0,"MS"
70,1,"MS"
0,1,"ID"
70,1,"TN"
70,1,"PA"
10,1,"CA"
70,0,"NC"
0,0,"NC"
0,1,"WI"
0,0,"NC"
15,1,"MA"
0,1,"CA"
100,1,"MA"
40,1,"NM"
40,0,"TX"
0,0,"KS"
30,0,"OK"
50,0,"CA"
15,1,"TX"
0,0,"MS"
0,0,"TN"
0,1,"SC"
30,0,"OH"
30,1,"CA"
85,1,"TX"
0,1,"TX"
50,0,"FL"
90,1,"WA"
60,0,"TN"
0,0,"IL"
0,1,"CT"
60,0,"AZ"
40,0,"KS"
40,0,"CT"
0,0,"OK"
30,1,"CA"
100,1,"WA"
50,0,"ID"
0,1,"MA"
50,0,"OK"
60,0,"AZ"
15,1,"ID"
0,1,"TX"
15,0,"CT"
15,0,"CA"
0,1,"MA"
70,1,"CT"
0,1,"MA"
60,0,"WI"
85,1,"IL"
0,0,"WA"
30,0,"OK"
20,0,"NY"
60,0,"KS"
60,0,"CA"
0,0,"MD"
0,1,"MD"
40,0,"IL"
0,1,"IL"
0,0,"CA"
15,0,"IL"
15,1,"WI"
85,1,"GA"
40,1,"WI"
65,1,"TN"
0,1,"CA"
60,0,"NC"
0,1,"CA"
30,1,"MI"
85,0,"IL"
30,1,"TN"
60,0,"NJ"
40,1,"OH"
40,0,"TX"
60,0,"ID"
0,1,"DC"
90,0,"KS"
0,0,"OK"
85,1,"TN"
70,1,"AR"
85,0,"OH"
0,1,"PA"
0,1,"IL"
0,0,"MI"
70,0,"MS"
0,1,"CO"
50,0,"TN"
85,1,"NH"
50,0,"CA"
0,1,"CA"
70,0,"TX"
60,0,"AZ"
15,0,"AZ"
50,0,"CA"
50,0,"LA"
85,1,"FL"
100,1,"MD"
40,0,"LA"
85,1,"KS"
50,0,"TX"
40,0,"IN"
0,0,"MA"
15,0,"NC"
70,1,"MI"
60,1,"MN"
60,1,"IL"
15,0,"IL"
100,0,"TN"
50,0,"NY"
15,1,"OH"
0,1,"KS"
85,1,"KS"
70,1,"TX"
70,0,"CA"
0,1,"NC"
70,0,"WI"
85,1,"AZ"
50,1,"KS"
0,1,"NJ"
70,0,"DC"
100,0,"CA"
100,1,"NH"
70,0,"MI"
15,0,"NY"
0,0,"CO"
70,1,"WI"
70,1,"CA"
0,1,"KS"
30,0,"CT"
60,0,"KS"
85,0,"AR"
0,1,"OH"
100,0,"GA"
0,0,"NM"
80,0,"TN"
30,0,"NM"
0,0,"TN"
0,0,"GA"
60,0,"MD"
40,1,"KS"
0,1,"ID"
85,1,"CA"
52,0,"MS"
0,1,"CA"
100,0,"TX"
85,1,"IL"
0,1,"ID"
60,1,"TN"
15,1,"TX"
30,1,"CT"
70,0,"TX"
0,1,"WI"
60,0,"IL"
40,0,"CA"
15,0,"PA"
15,1,"MD"
0,1,"TN"
0,1,"NJ"
15,1,"TX"
0,1,"MS"
0,NA,"IL"
40,0,"TX"
0,1,"MA"
50,0,"IN"
60,1,"IL"
50,0,"TX"
0,0,"NY"
70,1,"GA"
100,1,"CT"
70,0,"IL"
15,0,"CA"
30,1,"NJ"
60,0,"NC"
70,1,"MN"
0,0,"IL"
15,1,"CA"
30,0,"KS"
0,1,"WI"
50,1,"PA"
60,0,"TX"
96,0,"NC"
0,1,"NH"
85,0,"OK"
70,0,"IL"
70,0,"CA"
60,0,"MI"
50,0,"MS"
0,0,"NC"
0,0,"MS"
85,1,"KS"
40,1,"NH"
0,0,"TX"
15,0,"MA"
0,0,"MA"
15,1,"MA"
85,1,"TN"
70,1,"TN"
25,0,"KS"
60,1,"AZ"
70,1,"AR"
60,1,"TN"
50,0,"IN"
0,1,"CO"
35,1,"AR"
100,1,"FL"
0,0,"CO"
40,1,"NC"
0,0,"TX"
40,1,"NJ"
75,0,"LA"
70,0,"LA"
85,1,"MA"
85,0,"TN"
0,1,"DC"
60,0,"NM"
100,0,"CA"
85,0,"FL"
50,0,"NM"
40,0,"IL"
0,0,"NC"
0,1,"MD"
40,0,"TN"
0,0,"CO"
85,1,"ID"
30,1,"MD"
0,1,"NH"
30,1,"VA"
30,0,"NY"
85,0,"TN"
50,1,"VA"
40,0,"WA"
85,1,"NM"
70,1,"TX"
40,0,"GA"
0,1,"DC"
0,1,"ID"
60,1,"ID"
0,0,"KS"
60,0,"NC"
30,1,"TN"
60,0,"TN"
70,1,"IN"
40,1,"IL"
15,1,"GA"
0,1,"CA"
60,0,"PA"
70,0,"LA"
0,0,"AZ"
15,1,"CO"
30,0,"MA"
85,0,"MS"
70,0,"IL"
0,1,"TX"
70,1,"TN"
0,0,"NH"
0,1,"MA"
0,0,"VA"
0,0,"TX"
0,1,"NC"
0,1,"CA"
0,1,"DC"
0,1,"NY"
100,0,"LA"
85,0,"NC"
60,0,"IL"
60,1,"TX"
0,1,"FL"
0,1,"CA"
0,0,"CA"
60,0,"VA"
85,1,"GA"
0,0,"NC"
0,1,"MD"
85,1,"OH"
0,1,"IL"
0,1,"CA"
50,0,"NM"
0,1,"MA"
0,1,"MD"
70,0,"TX"
50,0,"KS"
70,0,"CO"
40,1,"IL"
15,0,"CT"
100,0,"TN"
0,1,"DC"
60,0,"NC"
0,1,"AR"
0,1,"CA"
2,1,"CA"
NA,0,"VA"
0,1,"CA"
0,0,"CA"
50,0,"TX"
0,0,"NC"
0,1,"NC"
100,0,"TX"
0,0,"CO"
0,0,"PA"
0,1,"NV"
48,0,"NC"
60,1,"MD"
71,0,"TX"
91,1,"AR"
70,0,"TX"
0,0,"NY"
0,1,"WV"
77,1,"CA"
85,0,"NC"
60,1,"MI"
0,1,"SC"
3,0,"OH"
15,1,"NJ"
100,0,"GA"
2,0,"TN"
70,1,"NC"
85,0,"CA"
40,0,"CA"
15,1,"AZ"
4,1,"CT"
54,1,"PA"
15,1,"OH"
100,0,"OH"
70,0,"SC"
0,0,"OR"
85,0,"KY"
1,0,"OH"
60,0,"NY"
0,1,"CA"
5,1,"ME"
0,1,"KY"
0,1,"IL"
50,1,"WA"
0,0,"TX"
NA,0,"MN"
0,1,"FL"
65,1,"WI"
0,0,"KY"
0,0,"MD"
0,1,"FL"
30,1,"HI"
100,0,"KY"
60,1,"CO"
0,0,"NC"
0,0,"IA"
0,1,"OR"
0,1,"FL"
0,1,"OR"
60,0,"NJ"
85,0,"TN"
15,1,"OH"
62,0,"TN"
45,1,"DC"
0,1,"MS"
0,0,"VA"
51,1,"NY"
85,1,"NC"
0,1,"MN"
90,1,"OR"
70,0,"KY"
30,1,"WI"
15,1,"MN"
85,1,"TX"
70,0,"AL"
0,0,"AZ"
70,1,"FL"
70,1,"AZ"
100,0,"IL"
60,1,"WI"
0,0,"CA"
40,0,"SC"
0,0,"FL"
86,1,"WI"
75,0,"WI"
15,NA,"CA"
70,0,"FL"
24,0,"MN"
0,1,"CA"
85,1,"MA"
100,1,"TX"
41,0,"CA"
15,0,"FL"
100,0,"PA"
100,1,"CA"
61,0,"VT"
1,1,"HI"
30,1,"OK"
0,1,"CO"
30,1,"CA"
15,1,"NY"
72,0,"MN"
0,1,"TN"
60,0,"MI"
2,1,"NC"
30,0,"MI"
30,0,"ND"
0,1,"CA"
70,0,"WA"
0,1,"AZ"
0,1,"TX"
30,0,"FL"
100,0,"WV"
85,0,"MI"
0,0,"NY"
0,1,"CA"
60,1,"ID"
60,1,"PA"
0,0,"CA"
0,0,"FL"
70,1,"MI"
0,1,"MN"
0,1,"CA"
40,1,"FL"
60,1,"OH"
40,1,"PA"
70,1,"WY"
49,1,"MN"
85,1,"NY"
100,0,"AL"
0,0,"WI"
0,1,"IL"
0,1,"NC"
40,0,"FL"
0,0,"NE"
16,1,"AZ"
0,1,"WY"
90,1,"CA"
30,1,"MS"
0,1,"VA"
40,1,"NH"
40,1,"TX"
0,0,"TX"
0,1,"CA"
0,0,"CA"
60,1,"TX"
85,1,"FL"
0,0,"NC"
1,1,"PA"
15,0,"TX"
0,0,"IN"
0,1,"FL"
60,1,"NV"
100,1,"TX"
50,0,"GA"
40,1,"NY"
0,1,"GA"
30,1,"NY"
65,1,"NC"
85,1,"MI"
2,0,"UT"
70,0,"WA"
30,1,"TX"
40,0,"TX"
50,1,"FL"
15,1,"CA"
60,0,"IL"
0,1,"FL"
85,0,"TX"
0,0,"PA"
15,0,"IL"
0,0,"NE"
0,0,"IN"
30,1,"WI"
70,1,"LA"
0,1,"WA"
0,1,"NC"
70,1,"NJ"
0,1,"TX"
40,0,"PA"
0,0,"WA"
0,1,"HI"
42,0,"FL"
15,1,"KY"
30,1,"MO"
0,1,"PA"
100,1,"WI"
60,1,"NE"
60,1,"IN"
100,1,"AZ"
100,NA,"CA"
0,1,"OK"
30,1,"IN"
100,0,"TX"
0,1,"CA"
0,0,"TX"
30,1,"WI"
0,0,"PA"
0,1,"OH"
15,1,"NV"
0,1,"GA"
0,1,"IL"
60,1,"CT"
100,0,"IN"
55,1,"MN"
85,0,"SC"
30,0,"NH"
50,0,"MD"
85,0,"NY"
0,1,"AZ"
70,1,"NC"
0,0,"MO"
86,0,"TN"
2,1,"NC"
60,0,"NM"
60,1,"UT"
70,0,"AR"
50,0,"NY"
100,0,"OH"
15,1,"OH"
100,0,"TX"
0,1,"NM"
30,0,"MI"
0,0,"NC"
70,0,"KY"
71,1,"NM"
70,0,"NM"
100,1,"NC"
100,0,"FL"
0,0,"VT"
0,0,"MT"
85,1,"MI"
60,1,"OH"
0,0,"CA"
0,1,"KY"
